_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
654c6ce92b8a1f66f91d260d,,85.59,94.81,89.99,60.04,214;1;4;0,time,30,-1,1,30,0,14.1,true,false,english,,normal,false,false,false,,1699507433000
654c6cbb2b8a1f66f91d24a2,,85.18,95.18,85.18,63.64,213;0;0;0,time,30,-1,0,30.01,0,0,true,false,english,,normal,false,false,false,,1699507387000
654c6c702b8a1f66f91d2241,,94.77,97.93,95.97,75.85,237;3;0;0,time,30,-1,1,30.01,0,6.71,true,false,english,,normal,false,false,false,,1699507312000
654c6c492b8a1f66f91d2106,,87.16,97.33,87.16,66.85,218;0;0;0,time,30,-1,3,30.01,0,11.3,true,false,english,,normal,false,false,false,,1699507273000
654c6bd22b8a1f66f91d1d66,,91.18,94.69,93.58,68.69,228;2;0;0,time,30,-1,0,30.01,0,0,true,false,english,,normal,false,false,false,,1699507154000
654c6bb22b8a1f66f91d1c60,,89.99,97.83,89.99,73.41,225;0;0;0,time,30,-1,7,30,0,35.79,true,false,english,,normal,false,false,false,,1699507122000
654c6b662b8a1f66f91d1a21,,87.59,93.59,87.59,62.5,219;0;0;0,time,30,-1,0,30,0,0,true,false,english,,normal,false,false,false,,1699507046000
654c6b422b8a1f66f91d190f,,86.78,97.41,91.18,69.42,217;2;0;1,time,30,-1,4,30.01,0,10.23,true,true,english,,normal,false,false,false,,1699507010000
654c68382b8a1f66f9156949,,142.49,100,142.49,73.08,52;0;0;0,words,10,-1,3,4.38,0,6.34,false,false,english,,normal,false,false,false,,1699506232000
654c68212b8a1f66f9156883,,110.84,87.04,139.87,87.36,42;5;0;1,words,10,-1,0,4.55,0,0,false,false,english,,normal,false,false,false,,1699506209000
654c681b2b8a1f66f9156853,,125.17,97.96,125.17,67.51,48;0;0;0,words,10,-1,4,4.6,0,7.45,false,false,english,,normal,false,false,false,,1699506203000
